time,x,y,z
20160805 16:41:11.457744,0,228241,228241,228241
20160805 16:41:11.465556,0,228242,228242,228242
20160805 16:41:11.473368,0,228243,228243,228243
20160805 16:41:11.481181,0,228244,228244,228244
20160805 16:41:11.488994,0,228245,228245,228245
20160805 16:41:11.496806,0,228246,228246,228246
20160805 16:41:11.504618,0,228247,228247,228247
20160805 16:41:11.512431,0,228248,228248,228248
20160805 16:41:11.520244,0,228249,228249,228249
20160805 16:41:11.528056,0,228250,228250,228250
20160805 16:41:11.535868,0,228251,228251,228251
20160805 16:41:11.543681,0,228252,228252,228252
20160805 16:41:11.551494,0,228253,228253,228253
20160805 16:41:11.559306,0,228254,228254,228254
20160805 16:41:11.567118,0,228255,228255,228255
20160805 16:41:11.574931,0,228256,228256,228256
20160805 16:41:11.582744,0,228257,228257,228257
20160805 16:41:11.590556,0,228258,228258,228258
20160805 16:41:11.598368,0,228259,228259,228259
20160805 16:41:11.606181,0,228260,228260,228260
20160805 16:41:11.613994,0,228261,228261,228261
20160805 16:41:11.621806,0,228262,228262,228262
20160805 16:41:11.629618,0,228263,228263,228263
20160805 16:41:11.637431,0,228264,228264,228264
20160805 16:41:11.645244,0,228265,228265,228265
20160805 16:41:11.653056,0,228266,228266,228266
20160805 16:41:11.660868,0,228267,228267,228267
20160805 16:41:11.668681,0,228268,228268,228268
20160805 16:41:11.676494,0,228269,228269,228269
20160805 16:41:11.684306,0,228270,228270,228270
20160805 16:41:11.692118,0,228271,228271,228271
20160805 16:41:11.699931,0,228272,228272,228272
20160805 16:41:11.707744,0,228273,228273,228273
20160805 16:41:11.715556,0,228274,228274,228274
20160805 16:41:11.723368,0,228275,228275,228275
20160805 16:41:11.731181,0,228276,228276,228276
20160805 16:41:11.738994,0,228277,228277,228277
20160805 16:41:11.746806,0,228278,228278,228278
20160805 16:41:11.754618,0,228279,228279,228279
20160805 16:41:11.762431,0,228280,228280,228280
20160805 16:41:11.770244,0,228281,228281,228281
20160805 16:41:11.778056,0,228282,228282,228282
20160805 16:41:11.785868,0,228283,228283,228283
20160805 16:41:11.793681,0,228284,228284,228284
20160805 16:41:11.801494,0,228285,228285,228285
20160805 16:41:11.809306,0,228286,228286,228286
20160805 16:41:11.817118,0,228287,228287,228287
20160805 16:41:11.824931,0,228288,228288,228288
20160805 16:41:11.832744,0,228289,228289,228289
20160805 16:41:11.840556,0,228290,228290,228290
20160805 16:41:11.848368,0,228291,228291,228291
20160805 16:41:11.856181,0,228292,228292,228292
